iter	Passed	Remaining
0	58	58405
1	58	29288
2	58	19571
3	59	14710
4	59	11793
5	59	9852
6	59	8469
7	59	7425
8	60	6615
9	60	5968
10	60	5437
11	60	4995
12	60	4620
13	61	4300
14	61	4021
15	61	3778
16	61	3563
17	61	3374
18	62	3204
19	62	3050
20	62	2910
21	62	2784
22	62	2675
23	63	2575
24	63	2477
25	63	2386
26	63	2302
27	64	2224
28	64	2151
29	64	2083
30	64	2019
31	64	1960
32	64	1904
33	65	1852
34	65	1803
35	65	1755
36	65	1711
37	65	1670
38	66	1629
39	66	1591
40	66	1555
41	66	1521
42	66	1489
43	67	1457
44	67	1427
45	67	1398
46	67	1371
47	67	1345
48	68	1319
49	68	1295
50	68	1272
51	68	1250
52	68	1229
53	68	1208
54	69	1188
55	69	1169
56	69	1151
57	69	1133
58	69	1116
59	70	1099
60	70	1082
61	70	1067
62	70	1051
63	70	1037
64	71	1024
65	71	1011
66	71	997
67	71	982
68	71	969
69	72	957
70	72	946
71	72	934
72	72	923
73	72	912
74	73	901
75	73	891
76	73	880
77	73	871
78	73	861
79	74	851
80	74	842
81	74	833
82	74	824
83	74	816
84	74	806
85	75	798
86	75	789
87	75	781
88	75	774
89	75	766
90	76	759
91	76	752
92	76	745
93	76	738
94	76	731
95	77	725
96	77	718
97	77	712
98	77	706
99	77	700
100	77	694
101	78	687
102	78	681
103	78	675
104	78	669
105	78	664
106	78	658
107	79	653
108	79	648
109	79	643
110	79	638
111	79	633
112	80	628
113	80	623
114	80	619
115	80	614
116	80	609
117	80	605
118	81	600
119	81	596
120	81	592
121	81	588
122	81	583
123	81	579
124	82	575
125	82	571
126	82	567
127	82	562
128	82	559
129	83	555
130	83	552
131	83	549
132	83	545
133	83	542
134	84	538
135	84	535
136	84	531
137	84	527
138	84	524
139	84	521
140	85	518
141	85	515
142	85	512
143	85	509
144	85	506
145	86	503
146	86	500
147	86	497
148	86	494
149	86	491
150	86	488
151	87	486
152	87	483
153	87	480
154	87	478
155	87	475
156	88	473
157	88	470
158	88	467
159	88	465
160	88	463
161	89	460
162	89	458
163	89	456
164	89	454
165	89	451
166	90	449
167	90	446
168	90	444
169	90	442
170	90	440
171	90	438
172	91	436
173	91	434
174	91	432
175	91	430
176	92	428
177	92	426
178	92	423
179	92	421
180	92	419
181	92	417
182	93	415
183	93	413
184	93	411
185	93	409
186	93	407
187	93	405
188	94	403
189	94	401
190	94	400
191	94	398
192	94	396
193	95	394
194	95	393
195	95	391
196	95	389
197	95	387
198	95	386
199	96	384
200	96	382
201	96	381
202	96	379
203	96	378
204	97	376
205	97	375
206	97	373
207	97	371
208	97	370
209	98	368
210	98	367
211	98	365
212	98	364
213	98	362
214	98	361
215	99	359
216	99	358
217	99	357
218	99	355
219	99	354
220	100	352
221	100	351
222	100	350
223	100	348
224	100	347
225	101	346
226	101	344
227	101	343
228	101	342
229	101	340
230	101	339
231	102	338
232	102	336
233	102	335
234	102	334
235	102	333
236	103	331
237	103	330
238	103	329
239	103	327
240	103	326
241	103	325
242	104	324
243	104	323
244	104	321
245	104	320
246	104	319
247	104	318
248	105	317
249	105	316
250	105	315
251	105	313
252	105	312
253	106	311
254	106	310
255	106	309
256	106	308
257	106	307
258	107	306
259	107	305
260	107	304
261	107	302
262	107	301
263	107	300
264	108	299
265	108	298
266	108	297
267	108	296
268	108	295
269	108	294
270	109	293
271	109	292
272	109	291
273	109	290
274	109	289
275	110	288
276	110	287
277	110	286
278	110	285
279	110	285
280	111	284
281	111	283
282	111	282
283	111	281
284	111	280
285	111	279
286	112	278
287	112	277
288	112	276
289	112	275
290	112	275
291	113	274
292	113	273
293	113	272
294	113	271
295	113	270
296	113	269
297	114	268
298	114	267
299	114	267
300	114	266
301	114	265
302	115	264
303	115	263
304	115	263
305	115	262
306	115	261
307	115	260
308	116	259
309	116	258
310	116	258
311	116	257
312	116	256
313	117	255
314	117	254
315	117	254
316	117	253
317	117	252
318	118	252
319	118	251
320	118	250
321	118	249
322	118	249
323	119	248
324	119	247
325	119	246
326	119	246
327	119	245
328	119	244
329	120	243
330	120	243
331	120	242
332	120	241
333	120	240
334	121	240
335	121	239
336	121	238
337	121	238
338	122	237
339	122	237
340	122	237
341	123	236
342	123	236
343	123	235
344	123	234
345	123	234
346	124	233
347	124	232
348	124	232
349	124	231
350	124	230
351	124	230
352	125	229
353	125	228
354	125	228
355	125	227
356	125	226
357	126	226
358	126	225
359	126	224
360	126	224
361	126	223
362	126	222
363	127	222
364	127	221
365	127	221
366	127	220
367	128	219
368	128	219
369	128	218
370	128	217
371	128	217
372	129	216
373	129	216
374	129	215
375	129	215
376	129	214
377	129	213
378	130	213
379	130	212
380	130	211
381	130	211
382	130	210
383	131	210
384	131	209
385	131	209
386	131	208
387	132	208
388	132	207
389	132	207
390	132	206
391	132	206
392	133	205
393	133	204
394	133	204
395	133	203
396	134	203
397	134	203
398	134	202
399	134	201
400	134	201
401	134	200
402	135	200
403	135	199
404	135	199
405	135	198
406	135	198
407	136	197
408	136	197
409	136	196
410	136	196
411	136	195
412	137	195
413	137	194
414	137	193
415	137	193
416	137	192
417	138	192
418	138	192
419	138	191
420	138	191
421	139	190
422	139	190
423	139	189
424	139	189
425	140	188
426	140	188
427	140	187
428	140	187
429	141	187
430	141	186
431	141	186
432	141	185
433	142	185
434	142	184
435	142	184
436	142	184
437	143	183
438	143	183
439	143	182
440	143	182
441	144	182
442	144	181
443	144	181
444	144	180
445	145	180
446	145	179
447	145	179
448	145	179
449	146	178
450	146	178
451	146	177
452	146	177
453	147	177
454	147	176
455	147	176
456	147	175
457	148	175
458	148	174
459	148	174
460	148	173
461	149	173
462	149	173
463	149	172
464	149	172
465	149	171
466	150	171
467	150	170
468	150	170
469	150	170
470	151	169
471	151	169
472	151	168
473	151	168
474	152	168
475	152	167
476	152	167
477	152	166
478	152	166
479	153	165
480	153	165
481	153	165
482	153	164
483	154	164
484	154	163
485	154	163
486	154	162
487	154	162
488	155	162
489	155	161
490	155	161
491	156	161
492	156	160
493	156	160
494	156	159
495	157	159
496	157	159
497	157	158
498	157	158
499	157	157
500	158	157
501	158	157
502	158	156
503	158	156
504	159	155
505	159	155
506	159	155
507	159	154
508	160	154
509	160	153
510	160	153
511	160	153
512	160	152
513	161	152
514	161	151
515	161	151
516	161	151
517	161	150
518	162	150
519	162	149
520	162	149
521	162	149
522	163	148
523	163	148
524	163	147
525	163	147
526	164	147
527	164	146
528	164	146
529	164	146
530	165	145
531	165	145
532	165	144
533	165	144
534	165	144
535	166	143
536	166	143
537	166	143
538	166	142
539	166	142
540	167	141
541	167	141
542	167	141
543	167	140
544	167	140
545	168	139
546	168	139
547	168	139
548	168	138
549	169	138
550	169	137
551	169	137
552	169	137
553	170	136
554	170	136
555	170	136
556	170	135
557	171	135
558	171	135
559	171	134
560	171	134
561	171	133
562	171	133
563	172	133
564	172	132
565	172	132
566	172	131
567	172	131
568	173	131
569	173	130
570	173	130
571	173	130
572	173	129
573	174	129
574	174	128
575	174	128
576	174	128
577	174	127
578	175	127
579	175	126
580	175	126
581	175	126
582	175	125
583	175	125
584	176	124
585	176	124
586	176	124
587	176	123
588	176	123
589	177	123
590	177	122
591	177	122
592	177	122
593	178	121
594	178	121
595	178	120
596	178	120
597	178	120
598	178	119
599	179	119
600	179	119
601	179	118
602	179	118
603	179	117
604	180	117
605	180	117
606	180	116
607	180	116
608	181	116
609	181	115
610	181	115
611	181	115
612	181	114
613	181	114
614	182	114
615	182	113
616	182	113
617	182	112
618	182	112
619	183	112
620	183	111
621	183	111
622	183	111
623	183	110
624	184	110
625	184	110
626	184	109
627	184	109
628	184	109
629	185	108
630	185	108
631	185	107
632	185	107
633	185	107
634	186	106
635	186	106
636	186	106
637	186	105
638	186	105
639	187	105
640	187	104
641	187	104
642	187	104
643	187	103
644	188	103
645	188	103
646	188	102
647	188	102
648	188	102
649	188	101
650	189	101
651	189	101
652	189	100
653	189	100
654	189	100
655	190	99
656	190	99
657	190	99
658	190	98
659	190	98
660	191	98
661	191	97
662	191	97
663	191	97
664	191	96
665	192	96
666	192	96
