iter	Passed	Remaining
0	60	60076
1	60	30125
2	60	20134
3	60	15135
4	60	12130
5	61	10129
6	61	8698
7	61	7628
8	61	6799
9	62	6144
10	62	5597
11	62	5141
12	62	4757
13	62	4427
14	63	4141
15	63	3890
16	63	3667
17	63	3470
18	63	3295
19	64	3136
20	64	2992
21	64	2862
22	64	2743
23	64	2633
24	64	2532
25	65	2439
26	65	2355
27	65	2277
28	65	2204
29	66	2139
30	66	2075
31	66	2014
32	66	1957
33	67	1904
34	67	1853
35	67	1806
36	67	1761
37	67	1718
38	68	1677
39	68	1638
40	68	1601
41	68	1565
42	68	1531
43	69	1499
44	69	1468
45	69	1441
46	69	1414
47	69	1386
48	70	1360
49	70	1335
50	70	1311
51	70	1288
52	70	1266
53	71	1245
54	71	1224
55	71	1204
56	71	1185
57	71	1166
58	72	1148
59	72	1131
60	72	1114
61	72	1098
62	72	1082
63	72	1067
64	73	1052
65	73	1037
66	73	1024
67	73	1012
68	74	999
69	74	987
70	74	975
71	74	964
72	75	953
73	75	942
74	75	932
75	75	920
76	75	910
77	76	899
78	76	889
79	76	879
80	76	870
81	76	860
82	76	850
83	77	842
84	77	834
85	77	826
86	77	817
87	78	809
88	78	801
89	78	793
90	78	785
91	78	778
92	79	770
93	79	763
94	79	756
95	79	749
96	79	742
97	79	736
98	80	729
99	80	723
100	80	716
101	80	711
102	81	706
103	81	700
104	81	695
105	81	691
106	82	685
107	82	680
108	82	675
109	82	669
110	82	664
111	83	659
112	83	654
113	83	649
114	83	644
115	83	640
116	84	635
117	84	630
118	84	625
119	84	621
120	84	616
121	85	612
122	85	607
123	85	603
124	85	599
125	85	595
126	85	590
127	86	586
128	86	583
129	86	579
130	86	575
131	86	571
132	87	567
133	87	564
134	87	560
135	87	556
136	87	553
137	88	550
138	88	548
139	88	545
140	89	542
141	89	538
142	89	535
143	89	532
144	89	528
145	89	525
146	90	522
147	90	519
148	90	516
149	90	513
150	90	510
151	91	508
152	91	505
153	91	502
154	91	499
155	91	497
156	92	494
157	92	491
158	92	488
159	92	486
160	92	483
161	93	481
162	93	479
163	93	476
164	93	474
165	93	471
166	94	469
167	94	467
168	94	464
169	94	462
170	94	460
171	95	457
172	95	455
173	95	453
174	95	451
175	95	448
176	96	446
177	96	445
178	96	442
179	96	440
180	96	438
181	97	436
182	97	435
183	97	433
184	97	431
185	98	429
186	98	427
187	98	425
188	98	423
189	98	421
190	99	419
191	99	417
192	99	415
193	99	413
194	99	411
195	99	410
196	100	408
197	100	406
198	100	404
199	100	402
200	100	401
201	101	399
202	101	397
203	101	395
204	101	394
205	101	392
206	102	390
207	102	389
208	102	387
209	102	385
210	102	384
211	102	382
212	103	381
213	103	380
214	103	378
215	103	377
216	104	375
217	104	374
218	104	372
219	104	371
220	105	370
221	105	368
222	105	367
223	105	365
224	105	364
225	105	362
226	106	361
227	106	359
228	106	358
229	106	357
230	107	356
231	107	355
232	107	353
233	107	352
